과목명,교수,전공,강의실,요일,강의시간
교육평가,김명연," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,월,09-12
교육평가,이현숙," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",상허관106,목,09-12
교육학개론,김명연," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,화,05-08
교육학개론,양성관," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,화,09-12
교육행정및교육경영,조원기," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사327,수,17-19
현장참관실습,"홍진곤, 박준열, 정경찬", 수학교육과,사218,목,09-12
현장참관실습,"유승공, 조하솜, 김일권", 음악교육과,사112,수,03-06
현장참관실습,고주은, 교육공학과,사327,목,13-16
교육과정,조덕주," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,수,05-08
교육과정,양송이," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,수,09-12
교육과정,한화진," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,수,13-16
교육봉사1,조정순, 영어교육과,사225,수,13-16
교육봉사1,이현영, 일어교육과,사217,목,09-12
교육봉사1,권택용, 체육교육과,체육관117,월,17-19
교육봉사1,권택용, 체육교육과,체육관117,수,17-19
교육봉사2,유병민, 교육공학과,사117,월,17-18
교육봉사2,유병민, 교육공학과,사117,목,17-18
교육봉사2,홍진곤, 수학교육과,사218,목,01-04
교육봉사2,유승공, 음악교육과,사311,금,03-06
특수교육학개론,윤성로," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,목,05-08
특수교육학개론,윤성로," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,금,01-04
특수교육학개론,윤성로," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,금,05-08
교직실무,"김종호, 미배정"," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사301-1,화,01-1
교직실무,"김종호, 미배정"," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사217,금,01-02
교직실무,이기호," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,화,17-19
교직실무,이기호," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,수,17-19
생활지도및상담,김정은," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,수,01-04
생활지도및상담,김경미," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사225,금,17-19
학교폭력예방및학생의이해,최은영," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사201,목,01-04
학교폭력예방및학생의이해,최은영," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사201,목,05-08
학교폭력예방및학생의이해,최은영," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사201,금,05-08
동물학,임현정, 수의예과,동710-4,화,02-04
동물학,임현정, 수의예과,동710-3,수,05-07
동물학,임현정, 수의예과,동710-3,화,05-07
동물학,임현정, 수의예과,동710-4,수,02-04
수의생화학실습,배기은, 수의예과,수410,목,05-08
수의생화학실습,배기은, 수의예과,수410,목,01-04
수의생화학실습,배기은, 수의예과,수410,목,11-14
수의생화학실습,배기은, 수의예과,수410,목,15-18
수의면역학실습,"김유진, 박승용", 수의예과,수410,수,15-18
수의면역학실습,"김유진, 박승용", 수의예과,수410,수,01-04
수의면역학실습,"김유진, 박승용", 수의예과,수410,수,05-08
수의면역학실습,"김유진, 박승용", 수의예과,수410,수,11-14
수의대사생화학,박은진, 수의예과,수409,화,15-17
수의대사생화학,박은진, 수의예과,수409,금,01-03
수의대사생화학,박은진, 수의예과,수409,화,12-14
수의대사생화학,박은진, 수의예과,수510,금,04-06
수의미생물학2,이상원, 수의예과,수207,수,12-14
수의미생물학2,이상원, 수의예과,수409,금,04-06
수의미생물학2,이상원, 수의예과,수207,수,15-17
수의미생물학2,이상원, 수의예과,수510,금,01-03
수의미생물학실습,"이상원, 라태민", 수의예과,수509,목,11-14
수의미생물학실습,"이상원, 라태민", 수의예과,수509,목,15-18
수의미생물학실습,"이상원, 라태민", 수의예과,수509,목,05-08
수의미생물학실습,"이상원, 라태민", 수의예과,수509,목,01-04
수의면역학1,박승용, 수의예과,동710-3,월,11-13
수의면역학1,박승용, 수의예과,수409,목,15-17
수의면역학1,박승용, 수의예과,동710-4,월,14-16
수의면역학1,박승용, 수의예과,수409,목,12-14
수의생리학1,"나승열, 김진, 김시윤", 수의예과,수409,화,05-07
수의생리학1,"나승열, 김진, 김시윤", 수의예과,수409,목,02-04
수의생리학1,"나승열, 김진, 김시윤", 수의예과,수409,화,02-04
수의생리학1,"나승열, 김진, 김시윤", 수의예과,수409,목,05-07
수의생리학1실습,"나승열, 김진, 김시윤", 수의예과,수509,수,05-08
수의생리학1실습,"나승열, 김진, 김시윤", 수의예과,수509,수,11-14
수의생리학1실습,"나승열, 김진, 김시윤", 수의예과,수509,수,15-18
수의생리학1실습,"나승열, 김진, 김시윤", 수의예과,수509,수,01-04
